vocab,Freq
기습중계,2
흥갤,2
귀엽게,2
언제나,2
좀만,2
정리해서,2
되는,2
질투하노,2
나와라,2
달려가고,2
넘나좋음,2
내일이,2
하나라도,2
정박아,2
두개,2
슈퍼,2
보는중이네,2
쳐다보네,2
또또,2
해줘,2
빈유라,2
입갤wwwwwwwwwwwwwwwwwwwww,2
끝나노,2
질질짜누,2
몇개,2
안들어,2
괜찮네,2
아쉬운데,2
상남자,2
저런데,2
킁카킁카,2
망상,2
2번,2
궁금한건데,2
뭔뎈,2
동시에,2
못하는,2
벌금,2
나왔다,2
아인슈타인계,2
왜이리,2
저작권,2
맡고싶드,2
30초간,2
일본어,2
있으면,2
미투운동,2
완장새끼,2
노예,2
너도,2
컴이랑,2
러브레터,2
파딱,2
노래는,2
없냐,2
도전과제,2
코난도,2
떡밥을,2
칼빵녀,2
철벽,2
입갤이냐,2
데이트신청에,2
그러네,2
띵곡,2
자막,2
딸치려고,2
중계는,2
17일의,2
둘이서,2
있었으면,2
없노,2
유입,2
틀라고,2
푸릉푸릉,2
프로그래밍,2
10위,2
나무위키충,2
처음보는,2
떨어지네,2
미스테리,2
캐송,2
빳따,2
오피스룩,2
빠르게,2
올라왔다,2
당했다,2
사냐,2
당해봐야,2
재해석,2
지랄,2
가슴이,2
고백봐라,2
신고,2
조사,2
에이트도,2
키타wwwwwwwwwwwww,2
4명인거,2
로리히,2
대학생은,2
거대파랑젤리,2
69,2
이것이,2
참가,2
왜이렇게,2
코루히,2
하네,2
그니까,2
3살,2
시간도,2
월희갤,2
하라고,2
당했노,2
많은,2
오나홀,2
오타쿠,2
커여워,2
노예해방,2
간닼,2
많이,2
책임회피,2
크기의,2
말이,2
6회차인데,2
광고컨텐츠,2
이세계인,2
옷은,2
18일의,2
그렇게,2
속으로,2
중꼐,2
2위다,2
이러니까,2
신생아,2
뽀뽀,2
잘만들엇,2
개꼴이네,2
일암충,2
오프닝부터,2
무슨일이,2
자연스럽게,2
1등을,2
떠드는거지,2
코구,2
1등이,2
입갤준비wwwwwww,2
냄새,2
아아,2
거유,2
찐특,2
pc로,2
저기가,2
이번에는,2
생각해도,2
중학교,2
갔는데,2
그런,2
기대된다,2
헤어스타일,2
생각했노,2
만드는거얔,2
보자,2
그럼,2
수제,2
숙제,2
금칙사항,2
다른거,2
일남춘,2
본인,2
각잡는거봐라,2
맛있다,2
소리,2
언제까지,2
슬라이딩,2
시작할거임,2
쓰르라미,2
미쿠루시력,2
있다는거냐,2
한개씩,2
달리자,2
못한다는,2
열심히,2
이츠모,2
새우튀김,2
후못후,2
수상한,2
견제하네,2
