year,month,totalPost,totalReply,totalView
2,11,106,217,9111
2,12,704,1470,62070
3,1,347,725,37813
3,2,362,837,46657
3,3,410,909,60305
3,4,211,404,37489
3,5,192,419,35259
3,6,179,338,28278
3,7,371,674,49379
3,8,273,468,31968
3,9,267,474,28376
3,10,238,497,24425
3,11,837,2084,52754
